Geo Point,Geo Shape,he_loop,lift,pids,station
"-37.781183, 144.951868","{""coordinates"": [144.951868, -37.781183], ""type"": ""Point""}",No,No,No,Royal Park
"-37.95669399999997, 145.163","{""coordinates"": [145.163, -37.95669399999997], ""type"": ""Point""}",No,No,No,Sandown Park
"-37.79958999999997, 144.92532000000006","{""coordinates"": [144.92532000000006, -37.79958999999997], ""type"": ""Point""}",No,No,No,South Kensington
"-37.83823799999999, 144.992297","{""coordinates"": [144.992297, -37.83823799999999], ""type"": ""Point""}",No,No,Dot Matrix,South Yarra
"-37.818354, 144.95219300000008","{""coordinates"": [144.95219300000008, -37.818354], ""type"": ""Point""}",No,Yes,LCD,Southern Cross
"-38.37405199999995, 145.221141","{""coordinates"": [145.221141, -38.37405199999995], ""type"": ""Point""}",No,No,No,Stony Point
"-37.57939099999999, 144.72787700000003","{""coordinates"": [144.72787700000003, -37.57939099999999], ""type"": ""Point""}",No,No,Dot Matrix,Sunbury
"-37.82405399999999, 145.09863900000005","{""coordinates"": [145.09863900000005, -37.82405399999999], ""type"": ""Point""}",No,No,Dot Matrix,Surrey Hills
"-37.90822599999996, 145.34316","{""coordinates"": [145.34316, -37.90822599999996], ""type"": ""Point""}",No,No,No,Tecoma
"-37.680296, 145.01429400000006","{""coordinates"": [145.01429400000006, -37.680296], ""type"": ""Point""}",Yes,Yes,Dot Matrix,Thomastown
"-37.79938099999998, 144.99440700000002","{""coordinates"": [144.99440700000002, -37.79938099999998], ""type"": ""Point""}",No,No,Dot Matrix,Victoria Park
"-37.801849000000004, 144.88564800000006","{""coordinates"": [144.88564800000006, -37.801849000000004], ""type"": ""Point""}",Yes,Yes,Dot Matrix,West Footscray
"-37.780619, 144.999232","{""coordinates"": [144.999232, -37.780619], ""type"": ""Point""}",No,No,LCD,Westgarth
"-37.86788199999995, 144.90563500000007","{""coordinates"": [144.90563500000007, -37.86788199999995], ""type"": ""Point""}",No,No,Dot Matrix,Williamstown
"-37.85582899999997, 144.99173300000007","{""coordinates"": [144.99173300000007, -37.85582899999997], ""type"": ""Point""}",No,No,Dot Matrix,Windsor
"-37.97814699999998, 145.19175200000006","{""coordinates"": [145.19175200000006, -37.97814699999998], ""type"": ""Point""}",No,No,No,Yarraman
"-37.81581299999999, 144.88997500000005","{""coordinates"": [144.88997500000005, -37.81581299999999], ""type"": ""Point""}",No,No,LCD,Yarraville
"-37.661001, 144.92605300000002","{""coordinates"": [144.92605300000002, -37.661001], ""type"": ""Point""}",Yes,Yes,Dot Matrix,Coolaroo
"-38.057331999999974, 145.24939100000006","{""coordinates"": [145.24939100000006, -38.057331999999974], ""type"": ""Point""}",Yes,No,Dot Matrix,Lynbrook
"-37.86884299999997, 145.07955800000002","{""coordinates"": [145.07955800000002, -37.86884299999997], ""type"": ""Point""}",No,No,No,Alamein
"-37.77765599999998, 144.82470999999998","{""coordinates"": [144.82470999999998, -37.77765599999998], ""type"": ""Point""}",No,No,Dot Matrix,Albion
"-37.775420999999994, 144.92188399999998","{""coordinates"": [144.92188399999998, -37.775420999999994], ""type"": ""Point""}",No,No,No,Ascot Vale
"-37.861767999999984, 145.081416","{""coordinates"": [145.081416, -37.861767999999984], ""type"": ""Point""}",No,No,No,Ashburton
"-37.86974699999996, 144.993516","{""coordinates"": [144.993516, -37.86974699999996], ""type"": ""Point""}",No,No,Dot Matrix,Balaclava
"-38.194222999999965, 145.160487","{""coordinates"": [145.160487, -38.194222999999965], ""type"": ""Point""}",No,No,No,Baxter
"-37.84186299999999, 145.26826700000004","{""coordinates"": [145.26826700000004, -37.84186299999999], ""type"": ""Point""}",Yes,Yes,LCD,Bayswater
"-37.91779299999996, 145.03689400000007","{""coordinates"": [145.03689400000007, -37.91779299999996], ""type"": ""Point""}",Yes,Yes,LCD,Bentleigh
"-38.062926000000004, 145.11974500000008","{""coordinates"": [145.11974500000008, -38.062926000000004], ""type"": ""Point""}",No,No,Dot Matrix,Bonbeach
"-37.92625499999997, 144.989193","{""coordinates"": [144.989193, -37.92625499999997], ""type"": ""Point""}",No,No,Dot Matrix,Brighton Beach
"-37.683362999999986, 144.91937000000007","{""coordinates"": [144.91937000000007, -37.683362999999986], ""type"": ""Point""}",No,No,Dot Matrix,Broadmeadows
"-37.827631, 145.0076200000001","{""coordinates"": [145.0076200000001, -37.827631], ""type"": ""Point""}",No,No,Dot Matrix,Burnley
"-37.886236999999994, 145.05857600000002","{""coordinates"": [145.05857600000002, -37.886236999999994], ""type"": ""Point""}",No,No,No,Carnegie
"-37.87768299999999, 145.04274600000008","{""coordinates"": [145.04274600000008, -37.87768299999999], ""type"": ""Point""}",No,No,Dot Matrix,Caulfield
"-37.966943999999955, 145.05477200000007","{""coordinates"": [145.05477200000007, -37.966943999999955], ""type"": ""Point""}",No,No,Dot Matrix,Cheltenham
"-38.099177, 145.28000700000007","{""coordinates"": [145.28000700000007, -38.099177], ""type"": ""Point""}",No,No,Dot Matrix,Cranbourne
"-37.79575399999999, 145.27988400000004","{""coordinates"": [145.27988400000004, -37.79575399999999], ""type"": ""Point""}",No,No,Dot Matrix,Croydon
"-37.77918299999999, 145.00824","{""coordinates"": [145.00824, -37.77918299999999], ""type"": ""Point""}",No,No,LCD,Dennis
"-37.67332899999997, 145.15873800000008","{""coordinates"": [145.15873800000008, -37.67332899999997], ""type"": ""Point""}",No,No,No,Diamond Creek
"-37.62774299999995, 144.71997900000008","{""coordinates"": [144.71997900000008, -37.62774299999995], ""type"": ""Point""}",No,No,Dot Matrix,Diggers Rest
"-37.76377099999996, 145.05370300000004","{""coordinates"": [145.05370300000004, -37.76377099999996], ""type"": ""Point""}",No,No,No,Eaglemont
"-37.825759000000005, 145.06832400000008","{""coordinates"": [145.06832400000008, -37.825759000000005], ""type"": ""Point""}",No,No,No,East Camberwell
"-37.877025, 145.06928500000004","{""coordinates"": [145.06928500000004, -37.877025], ""type"": ""Point""}",No,No,No,East Malvern
"-37.65301699999998, 145.02860700000008","{""coordinates"": [145.02860700000008, -37.65301699999998], ""type"": ""Point""}",Yes,Yes,Dot Matrix,Epping
"-38.14326399999999, 145.12601000000006","{""coordinates"": [145.12601000000006, -38.14326399999999], ""type"": ""Point""}",No,No,Dot Matrix,Frankston
"-37.89614799999998, 145.00426900000002","{""coordinates"": [145.00426900000002, -37.89614799999998], ""type"": ""Point""}",No,No,No,Gardenvale
"-37.75758099999996, 144.80964300000005","{""coordinates"": [144.80964300000005, -37.75758099999996], ""type"": ""Point""}",Yes,Yes,LCD,Ginifer
"-37.747187, 144.920932","{""coordinates"": [144.920932, -37.747187], ""type"": ""Point""}",No,No,No,Glenbervie
"-37.82146599999999, 145.0364380000001","{""coordinates"": [145.0364380000001, -37.82146599999999], ""type"": ""Point""}",No,No,Dot Matrix,Glenferrie
"-37.703981999999996, 145.108164","{""coordinates"": [145.108164, -37.703981999999996], ""type"": ""Point""}",No,No,Dot Matrix,Greensborough
"-38.01774399999999, 145.269773","{""coordinates"": [145.269773, -38.01774399999999], ""type"": ""Point""}",No,No,No,Hallam
"-37.843763999999965, 145.07541700000002","{""coordinates"": [145.07541700000002, -37.843763999999965], ""type"": ""Point""}",No,No,Dot Matrix,Hartwell
