property_id,block_id,seating_type,clue_small_area,trading_name,x_coordinate,y_coordinate,industry_anzsic4_description
110679,113,Seats - Indoor,Melbourne (CBD),La Cantina ,144.9572395,-37.80745984,Takeaway Food Services
109329,243,Seats - Outdoor,Carlton,Cafe Fillings,144.9634142,-37.80087264,Cafes and Restaurants
611394,1,Seats - Indoor,Melbourne (CBD),Tokyo Maki One,144.9565185,-37.82099397,Cafes and Restaurants
106322,524,Seats - Indoor,Kensington,Joseph Swan Deli,144.9293517,-37.79452502,Other Specialised Food Retailing
108062,23,Seats - Indoor,Melbourne (CBD),Queen St Espresso ,144.9616143,-37.81773812,Cafes and Restaurants
105325,91,Seats - Indoor,West Melbourne (Residential),Ssarim's Cafe,144.9532514,-37.81166257,Cafes and Restaurants
101121,47,Seats - Outdoor,Melbourne (CBD),Gyoza Douraku,144.9689721,-37.81280567,Cafes and Restaurants
101201,56,Seats - Indoor,Melbourne (CBD),Easy Cafe,144.9667375,-37.81291317,Internet Service Providers and Web Search Portals
627740,270,Seats - Indoor,Parkville,Shanti Bhagwan Cafe,144.9612468,-37.79739836,Cafes and Restaurants
108532,16,Seats - Indoor,Melbourne (CBD),Ikkoryu Fukuoka Ramen,144.9692478,-37.81598754,Cafes and Restaurants
105945,31,Seats - Outdoor,Melbourne (CBD),Hugo's Expresso,144.9549054,-37.81802782,Takeaway Food Services
102061,28,Seats - Outdoor,Melbourne (CBD),Pei Modern,144.9726281,-37.81430616,Cafes and Restaurants
105302,51,Seats - Indoor,Melbourne (CBD),Woodo,144.9552051,-37.81596556,Cafes and Restaurants
101177,53,Seats - Indoor,Melbourne (CBD),Cafe Euro Food & Wine Bar,144.9591969,-37.81499761,Cafes and Restaurants
559161,801,Seats - Outdoor,Southbank,Gainsville Cafe,144.9645668,-37.82166549,Cafes and Restaurants
110858,88,Seats - Indoor,Melbourne (CBD),Lost Angel Bar & Restaurant ,144.9710147,-37.80814522,Cafes and Restaurants
108986,58,Seats - Indoor,Melbourne (CBD),The Melbourne Supper Club,144.9724291,-37.8109513,Cafes and Restaurants
103816,377,Seats - Outdoor,North Melbourne,New Lanna Thai ,144.9540004,-37.79936937,Cafes and Restaurants
599505,1103,Seats - Outdoor,Docklands,Origami Sushi & Noodles ,144.947217,-37.81817241,Cafes and Restaurants
620308,1110,Seats - Outdoor,Docklands,Sakura Sushi Bar,144.9378299,-37.81315031,Cafes and Restaurants
101232,58,Seats - Indoor,Melbourne (CBD),Takumi Japanese Restaurant,144.9719781,-37.81136083,Cafes and Restaurants
109798,354,Seats - Indoor,North Melbourne,The Sensible Sandwich Cafe,144.9505407,-37.80500905,Cafes and Restaurants
108104,54,Seats - Outdoor,Melbourne (CBD),Kenny's Bakery Cafe,144.9606804,-37.81402844,Cafes and Restaurants
102505,861,Seats - Outdoor,South Yarra,Domain Brasserie,144.9820364,-37.83431435,Cafes and Restaurants
105459,82,Seats - Indoor,Melbourne (CBD),Frescatis Fine Foods,144.9552995,-37.81251859,Cafes and Restaurants
107558,247,Seats - Outdoor,Carlton,Assembly Store,144.9673351,-37.80262561,Takeaway Food Services
