,property_id,block_id,seating_type,clue_small_area,trading_name,x_coordinate,y_coordinate,industry_anzsic4_description
38,102127,33,Indoor,Melbourne (CBD),Taco Bill Collins Street,144.960489,-37.81698962,Cafes and Restaurants
39,105836,57,Indoor,Melbourne (CBD),Gyoza Gyoza & Momo Shabu Shabu,144.9690101,-37.81158808,Cafes and Restaurants
42,103396,345,Indoor,North Melbourne,Toast Kitchen Cafe,144.9490423,-37.80463699,Cafes and Restaurants
44,110373,732,Outdoor,Southbank,A Treat of France,144.9590507,-37.82730522,Cafes and Restaurants
45,108101,64,Indoor,Melbourne (CBD),Cafe Shots Espresso Bar,144.960162,-37.81320274,Cafes and Restaurants
47,102103,22,Outdoor,Melbourne (CBD),Eclipse Coffee,144.9581185,-37.81853877,Cafes and Restaurants
48,578319,6,Outdoor,Melbourne (CBD),ACMI Cafe & Bar,144.9699175,-37.81784465,Cafes and Restaurants
49,108591,47,Indoor,Melbourne (CBD),Izakaya Den,144.9689753,-37.81350285,Cafes and Restaurants
50,103980,1112,Indoor,Docklands,Bababoi,144.9525486,-37.82290352,Cafes and Restaurants
51,597955,660,Indoor,Melbourne (Remainder),Edwin's Cafe,144.9823854,-37.82487806,Cafes and Restaurants
52,101178,53,Outdoor,Melbourne (CBD),Original Sushi,144.9593794,-37.8150902,Cafes and Restaurants
53,105317,71,Indoor,Melbourne (CBD),Tabby House,144.9542621,-37.81381086,Cafes and Restaurants
54,103968,27,Indoor,Melbourne (CBD),Axil Coffee Roasters / Not to Scale,144.9715746,-37.81501535,Cafes and Restaurants
55,105913,38,Indoor,Melbourne (CBD),Crema Espresso Bar,144.9716953,-37.81309819,Cafes and Restaurants
56,105930,34,Indoor,Melbourne (CBD),Nori Nori,144.9624392,-37.81585501,Cafes and Restaurants
57,578319,6,Outdoor,Melbourne (CBD),Chocolate Buddha,144.9699175,-37.81784465,Cafes and Restaurants
58,110708,72,Indoor,Melbourne (CBD),Gami At Healeys - Chicken & Beer,144.9560169,-37.8134766,Cafes and Restaurants
59,529298,56,Indoor,Melbourne (CBD),Crazy Wing,144.9675488,-37.81229698,Cafes and Restaurants
60,102503,861,Indoor,South Yarra,Cafe Domain,144.9816996,-37.83431735,Cafes and Restaurants
62,108989,68,Outdoor,Melbourne (CBD),Hudson's Coffee,144.9720594,-37.81012699,Cafes and Restaurants
65,579362,773,Outdoor,Docklands,Al-Khaleej Restaurant,144.9435506,-37.82438863,Cafes and Restaurants
66,109837,361,Indoor,North Melbourne,Donwoori,144.9573902,-37.80580455,Cafes and Restaurants
67,520597,66,Indoor,Melbourne (CBD),Yang's Braised Chicken Rice,144.9658727,-37.81222127,Cafes and Restaurants
68,110413,812,Outdoor,Southbank,5 Solars Restaurant,144.9666055,-37.82241845,Cafes and Restaurants
69,105956,44,Outdoor,Melbourne (CBD),STREAT,144.9617411,-37.81560573,Cafes and Restaurants
71,105889,66,Indoor,Melbourne (CBD),Petaling Street Malaysian Hawker Food,144.966942,-37.81186912,Cafes and Restaurants
